text,eng_text
Descarga el código fuente de nuestros artículos. https://t.co/dP2mZNkTLO #java #html5 #javascript #mongodb #python #jquery #php #css #xml,Download the source code of our articles. https://t.co/dP2mZNkTLO #java #html5 #javascript #mongodb #python #jquery #php #css #xml
"Si eres una empresa afiliada @FedesoftCol , esta información es de tu interés!!

Las inscripciones para nuestro pro… https://t.co/eULN2V2WNF","If you are an affiliated company @FedesoftCol, this information is of interest to you!!

Registrations for our pro… https://t.co/eULN2V2WNF"
Cómo validar los campos de un #formulario antes de enviarlo utilizando #JavaScript https://t.co/yPhvuWu2wF https://t.co/nDumaBGPeh,How to validate the fields of a #form before submitting it using #JavaScript https://t.co/yPhvuWu2wF https://t.co/nDumaBGPeh
Cómo validar los campos de un #formulario antes de enviarlo utilizando #JavaScript https://t.co/tha6VMpzbD https://t.co/T12fnq2Uza,How to validate the fields of a #form before submitting it using #JavaScript https://t.co/tha6VMpzbD https://t.co/T12fnq2Uza
Se viene maratón de libros de #JavaScript 😍🥳 https://t.co/R39Bzss0iH,#JavaScript book marathon is coming 😍🥳 https://t.co/R39Bzss0iH
"Comparte la publicación y déjanos un like
.
.
.
#javascript #typescript #coders #code #sorzudev #brodevs #angular… https://t.co/fMJShjw9oO","Share the post and leave us a like
.
.
.
#javascript #typescript #coders #code #sorzudev #brodevs #angular… https://t.co/fMJShjw9oO"
Escribí un breve tutorial para crear experimentos comportamentales online usando la excelente biblioteca #jsPsych e… https://t.co/tOBsetRpY7,I wrote a short tutorial to create online behavioral experiments using the excellent #jsPsych library and… https://t.co/tOBsetRpY7
https://t.co/zCzShDNTMN Simplifica el diseño de tus webs y el uso de #Javascript con #jQuery Sencillos ejemplos explicados paso a paso,https://t.co/zCzShDNTMN Simplify the design of your websites and the use of #Javascript with #jQuery Simple examples explained step by step
"Conoce más información de las vacantes disponibles en https://t.co/MmiP3LcpNt
.
#TrabajoSíHay #Java #Angular… https://t.co/dhEpmFELm6","Learn more information about available vacancies at https://t.co/MmiP3LcpNt
.
#WorkYesThere is #Java #Angular… https://t.co/dhEpmFELm6"
"ECMAScript 2020: parámetros opcionales y valores por defecto en funciones - El operador de ""unión nulosa"" o ""nullis… https://t.co/pqZXeYLAi6","ECMAScript 2020: Optional parameters and default values ​​in functions - The ""null union"" or ""nullis… operator https://t.co/pqZXeYLAi6"
"¡HARVARD GRATIS!

#Harvard University ofrece un curso gratuito práctico para aprender  desarrollo de #videojuegos e… https://t.co/lfF7xcRfmv","FREE HARVARD!

#Harvard University offers a free practical course to learn #videogame development and… https://t.co/lfF7xcRfmv"
"ngOnInit, ngServices etc, qué asco más grande le tengo a Angular, ojo no a TS, pero si a Angular, algo tan sencillo… https://t.co/3g1P8QZ961","ngOnInit, ngServices etc, I really hate Angular, beware not of TS, but of Angular, something so simple… https://t.co/3g1P8QZ961"
"Conoce el ecosistema de Vue.js y todo lo que puedes hacer con este poderoso Framework JS.

https://t.co/CyAowdm5gL… https://t.co/LRnSQ6q8Ws","Learn about the Vue.js ecosystem and everything you can do with this powerful JS Framework.

https://t.co/CyAowdm5gL… https://t.co/LRnSQ6q8Ws"
Cómo validar campos de un formulario con #SpryAssets de #Dreamweaver https://t.co/tD3O7viv7F #JS #JavaScript https://t.co/RLwCWcjBxt,How to validate form fields with #SpryAssets from #Dreamweaver https://t.co/tD3O7viv7F #JS #JavaScript https://t.co/RLwCWcjBxt
Cómo validar campos de un formulario con #SpryAssets de #Dreamweaver https://t.co/bJfUo9lLFZ #JS #JavaScript https://t.co/YEMRGcbfG6,How to validate form fields with #SpryAssets from #Dreamweaver https://t.co/bJfUo9lLFZ #JS #JavaScript https://t.co/YEMRGcbfG6
Sólo hay 20 plazas disponibles para cada uno de los cuatro cursos presenciales de 2021 de Skylab Coders.… https://t.co/Pcon5shbdg,There are only 20 places available for each of the four 2021 Skylab Coders in-person courses.… https://t.co/Pcon5shbdg
Simple... #javascript https://t.co/wh2DSbezSd,Simple... #javascript https://t.co/wh2DSbezSd
"#LoUltimo Gestión de estados con VUEX 👨‍💻.
Aprende a dominar los estados en una app con Vue.js, nuevo tutorial en n… https://t.co/Lb9A3fMm3G","#LoUltimo State management with VUEX 👨‍💻.
Learn to master states in an app with Vue.js, new tutorial in n… https://t.co/Lb9A3fMm3G"
"#javascript 
Substraer un día de un objeto Date():
let dia = new Date();
dia.setDate(dia.getDate() - 1;","#javascript
Subtract a day from a Date() object:
let day = new Date();
day.setDate(day.getDate() - 1;"
"Electron &amp; MongoDB CRUD - Aplicación CRUD con HTML, CSS y JavaScript

☞ https://t.co/WnGFVSrRvT

#JavaScript… https://t.co/fBOvSFruzY","Electron &amp; MongoDB CRUD - CRUD Application with HTML, CSS and JavaScript

☞ https://t.co/WnGFVSrRvT

#JavaScript… https://t.co/fBOvSFruzY"
Comprobar si hay cambios en un formulario (JavaScript) https://t.co/oeMfhRp43l #javascript,Check for changes in a form (JavaScript) https://t.co/oeMfhRp43l #javascript
"Akamaru: ""ya me canse, ahora si puedes trabajar agusto"".
😬 😒 😑

#covid19 #homeoffice #lunes #perrijo #akamaru… https://t.co/qzP2W5sVRQ","Akamaru: ""I'm tired, now you can work comfortably.""
😬 😒 😑

#covid19 #homeoffice #monday #perrijo #akamaru… https://t.co/qzP2W5sVRQ"
"Si quieres aprender o mejorar tus habilidades en #Javascript, sigue las recomendaciones de @degranda10. https://t.co/ODc7A2ELkm","If you want to learn or improve your #Javascript skills, follow @degranda10's recommendations. https://t.co/ODc7A2ELkm"
"Uno queriendo trabajar y la cría quiere cariño, además de andar de chismoso en la ventana. 😝😬😂😓❤️

#perrijo… https://t.co/OohqXZO6OJ","One wants to work and the child wants affection, in addition to gossiping at the window. 😝😬😂😓❤️

#perrijo… https://t.co/OohqXZO6OJ"
Por cierto.... ¿ya se registraron a @connect_js ???https://t.co/5rH7eMmIv4 Este año será gratuito y full online! El… https://t.co/z13DCf5cj7,By the way.... Have you already registered for @connect_js???https://t.co/5rH7eMmIv4 This year it will be free and full online! The… https://t.co/z13DCf5cj7
"El sistema eco productivo, está desarrollado en los lenguajes web PHP y JavaScript. #PHP #JavaScript",The eco-productive system is developed in the web languages ​​PHP and JavaScript. #PHP #JavaScript
"Angular 2 Autocomplete Component

☞ https://t.co/idlfw3PZ97

#angular #javascript https://t.co/rVIH7fiUJz","Angular 2 Autocomplete Component

☞ https://t.co/idlfw3PZ97

#angular #javascript https://t.co/rVIH7fiUJz"
"Domina le manejo de estados en una aplicación con #VueJS utilizando #Vuex 👍.
👉 https://t.co/psjBVfgJNP

#Tutorial
#JavaScript","Master state management in an application with #VueJS using #Vuex 👍.
👉 https://t.co/psjBVfgJNP

#Tutorial
#JavaScript"
"Oooh esto qué eeeeees?

@juanwmedia

#VueJS
#javascript
#firebase https://t.co/MsnnNWRRMH","Oooh what is this?

@juanwmedia

#VueJS
#javascript
#firebase https://t.co/MsnnNWRRMH"
"#HTML, es uno de los lenguajes descriptivos más importantes hoy en día. Junto #css, #javascript, #PHP compone el gr… https://t.co/Kywx7LWHXA","#HTML is one of the most important descriptive languages ​​today. Together #css, #javascript, #PHP makes up the gr… https://t.co/Kywx7LWHXA"
"&lt;Hola Lunes/&gt;
Excelente inicio de semana, listos para empezar a desarrollar algo innovador 🤓
Tienes un negocio y no… https://t.co/Ot9pbWqWFR","&lt;Hello Monday/&gt;
Excellent start to the week, ready to start developing something innovative 🤓
You have a business and you don't… https://t.co/Ot9pbWqWFR"
"Hoy se activó la oficina en la terraza! Lunessss 🤓🤓🤓 

#Django 
#javascript 
#Python https://t.co/kYJnM0nvfj","Today the office on the terrace was activated! Monday 🤓🤓🤓

#Django
#javascript
#Python https://t.co/kYJnM0nvfj"
"Un Sistema de #GestióndeContenido o #CMS, es un sistema o plataforma que te permite administrar fácilmente el conte… https://t.co/BdVRyRna7m","A #ContentManagementSystem or #CMS, is a system or platform that allows you to easily manage content… https://t.co/BdVRyRna7m"
"Demo CRUD #nodejs #express #javascript #backend #sqlserver
https://t.co/4e5471d0q9","CRUD Demo #nodejs #express #javascript #backend #sqlserver
https://t.co/4e5471d0q9"
"Css para principiantes desde cero - #28 Degradados lineales https://t.co/woEJDqIBtZ via @YouTube 
#donispot #html… https://t.co/LcgPxR4OR3","CSS for beginners from scratch - #28 Linear Gradients https://t.co/woEJDqIBtZ via @YouTube
#donispot #html… https://t.co/LcgPxR4OR3"
¡Nuestrxs #coders afrontan hoy su #1erCoderChallenge!👩‍💻💪 El 1er reto de los 3 que realizarán para clasificarse en… https://t.co/B2SfGiyC6D,Our #coders face their #1stCoderChallenge today!👩‍💻💪 The 1st challenge of the 3 that they will carry out to qualify in… https://t.co/B2SfGiyC6D
"Desde hoy empiezo un curso de NodeJS, Express y MongoDB. Compartiré por aquí todo lo nuevo que vaya aprendiendo… https://t.co/xUBhuRGlWQ","Starting today I start a NodeJS, Express and MongoDB course. I will share here everything new that I learn… https://t.co/xUBhuRGlWQ"
"El 15/7 comencé un curso de #javascript, en breve voy con uno de #Python con el que puedo obtener certificado de… https://t.co/sZ8df15h8e","On 7/15 I started a #javascript course, soon I will take a #Python course with which I can obtain a certificate of… https://t.co/sZ8df15h8e"
"Últimas dos horas de evaluación final en @Adalab_Digital y no puedo estar más orgullosa de lo que he conseguido.
¡¡… https://t.co/pzavgtnc33","Last two hours of final evaluation at @Adalab_Digital and I couldn't be more proud of what I have achieved.
… https://t.co/pzavgtnc33"
"💻🌍 𝘑𝘈𝘝𝘈𝘚𝘊𝘙𝘐𝘗𝘛 4.𝘟 𝘠 𝘈𝘙𝘊𝘎𝘐𝘚 𝘚𝘌𝘙𝘝𝘌𝘙

Empieza el curso que capacitará a los alumnos en la creación de aplicaciones de… https://t.co/Tw4535H7Zz","💻🌍 𝘑𝘈𝘝𝘈𝘚𝘊𝘙𝘐𝘗𝘛 4.𝘟 𝘠 𝘈𝘙𝘊𝘎𝘐𝘚 𝘚𝘌𝘙𝘝𝘌𝘙

The course begins that will train students in creating applications for… https://t.co/Tw4535H7Zz"
"Angular 2 Autocomplete Component

☞ https://t.co/IMcN5Hedl6

#angular #javascript https://t.co/ZiFiGhcqu6","Angular 2 Autocomplete Component

☞ https://t.co/IMcN5Hedl6

#angular #javascript https://t.co/ZiFiGhcqu6"
"vue v-bind
https://t.co/cObARm8NMG
#javascript #vuejs","vue v-bind
https://t.co/cObARm8NMG
#javascript #vuejs"
Freebie: Minimalistic PSD Resume Template #WordPress #Photoshop #javaScript https://t.co/U5fmGmRM5W,Freebie: Minimalistic PSD Resume Template #WordPress #Photoshop #javaScript https://t.co/U5fmGmRM5W
"🔎 Estamos buscando un #SeniorSoftwareEngineer para nuestra oficina de Barcelona. 

⚙️ Con experiencia en #Java8… https://t.co/otOE5YWEAy","🔎 We are looking for a #SeniorSoftwareEngineer for our Barcelona office.

⚙️ With experience in #Java8… https://t.co/otOE5YWEAy"
Procedural Level Generator in action. #indiegame #indiedev #indiedevhour #indiegamedev #javascript https://t.co/WhHrccof3U,Procedural Level Generator in action. #indiegame #indiedev #indiedevhour #indiegamedev #javascript https://t.co/WhHrccof3U
"javascript: 4 formas de remover elementos duplicados de un arreglo con Javascript
https://t.co/Er3NrQSiTM
#javascript #js","javascript: 4 ways to remove duplicate elements from an array with Javascript
https://t.co/Er3NrQSiTM
#javascript #js"
"Como crear tu primer HOLA MUNDO en ANGULAR + BOOTSTRAP para novatos.
https://t.co/TZZNogdR2H
#javascript #angular","How to create your first HELLO WORLD in ANGULAR + BOOTSTRAP for newbies.
https://t.co/TZZNogdR2H
#javascript #angular"
💻✅🆕Aprende a crear una aplicación en #Salesforce con #javascript para ver cuántos casos de #COVID19 hay en #Perú 🇵🇪… https://t.co/hCIjgs4E0g,💻✅🆕Learn how to create an application in #Salesforce with #javascript to see how many cases of #COVID19 there are in #Peru 🇵🇪… https://t.co/hCIjgs4E0g
"Diseño Web Empresarial

Estructura - #HTML
Diseño - #CSS
Interactividad - #javascript
Bases de Datos - #Oracle,… https://t.co/tlRYdUwWaa","Business Web Design

Structure - #HTML
Design - #CSS
Interactivity - #javascript
Databases - #Oracle,… https://t.co/tlRYdUwWaa"
#AggregateError Combine Multiple Errors Into Single https://t.co/9HfRtrZDlf #javascript #js,#AggregateError Combine Multiple Errors Into Single https://t.co/9HfRtrZDlf #javascript #js
"Crea una API de bitcoin con #NodeJS and #GraphQL
https://t.co/t9WaUtCuEl #javascript","Create a bitcoin API with #NodeJS and #GraphQL
https://t.co/t9WaUtCuEl #javascript"
EN DIRECTO EN MINECRAFT!!! UN RATETE EN MINECRAFT!! PASEN Y VEAN!! #Minecraft #Java #javascript #mojang #risas… https://t.co/xJaYOVHape,LIVE IN MINECRAFT!!! A RATE IN MINECRAFT!! COME AND SEE!! #Minecraft #Java #javascript #mojang #laughs… https://t.co/xJaYOVHape
En mi carrera tuve asignaturas donde aprendí y me peleé con la base de #javascript #html #css y estoy muy agradecid… https://t.co/4RY9fOsSLb,In my career I had subjects where I learned and struggled with the basis of #javascript #html #css and I am very grateful… https://t.co/4RY9fOsSLb
Convert Decimal to Fraction https://t.co/PwQPOwXfgp #javascript,Convert Decimal to Fraction https://t.co/PwQPOwXfgp #javascript
Cómo hacer un CRUD paso a paso sin necesitar una base de datos en Angular https://t.co/Xjtt6vSKdJ #javascript,How to do a CRUD step by step without needing a database in Angular https://t.co/Xjtt6vSKdJ #javascript
#Código de #JavaScript - Cuenta atras hasta una fecha https://t.co/ZZ33lsf485 https://t.co/6T2mmoeqYZ,#JavaScript #Code - Countdown to a date https://t.co/ZZ33lsf485 https://t.co/6T2mmoeqYZ
"Y recuerden colegas programadores con React, ContextAPI es para proyectos no tan grandes y Redux es para proyectos… https://t.co/sSD8WNyZg6","And remember fellow programmers with React, ContextAPI is for not so large projects and Redux is for projects… https://t.co/sSD8WNyZg6"
Top story: Desarrollo web. JavaScript desde cero. Edición 2020 ($19.99 to Free) #spanish #javascript #reactjs… https://t.co/T2w9BwxJxI,Top story: Web development. JavaScript from scratch. 2020 Edition ($19.99 to Free) #spanish #javascript #reactjs… https://t.co/T2w9BwxJxI
"El método includes() determina si una matriz incluye un determinado elemento, devuelve true o false según correspon… https://t.co/l2Zpj7d6np","The includes() method determines whether an array includes a certain element, returning true or false accordingly… https://t.co/l2Zpj7d6np"
